epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3101,1.23985,2.91781,1.39036,0.00246,1,0.31047,0.1972,1.15646,2.61886,1.26425,0.000471522,0.000471522,0.000471522
2,19.8567,1.11159,2.67083,1.3322,0.27832,0.55,0.30495,0.15418,1.58376,3.03268,1.72829,0.000929088,0.000929088,0.000929088
3,28.5295,1.30238,2.65403,1.47092,0.21788,0.87769,0.34805,0.15594,1.66676,3.04687,1.61358,0.00136779,0.00136779,0.00136779
4,37.0063,1.33885,2.63832,1.4731,0.16113,0.29923,0.32406,0.13266,1.72667,2.3893,1.97416,0.00134412,0.00134412,0.00134412
5,45.9508,1.32616,2.55453,1.4671,0.96258,0.13333,0.23389,0.11215,1.82589,2.70289,2.05674,0.00131582,0.00131582,0.00131582
6,54.9822,1.38078,2.53322,1.49481,0.20586,0.6,0.27757,0.13304,1.46885,2.5308,1.64477,0.00128753,0.00128753,0.00128753
7,63.849,1.37697,2.43512,1.57246,0.24441,0.51667,0.2959,0.14632,1.43041,10.9157,1.5567,0.00125923,0.00125923,0.00125923
8,72.3484,1.32701,2.55114,1.51654,0.225,0.52315,0.30529,0.18981,1.39514,19.6149,1.64825,0.00123094,0.00123094,0.00123094
9,81.1084,1.19264,2.39961,1.38393,0.25399,0.76417,0.3819,0.19963,1.33369,8.26181,1.51902,0.00120265,0.00120265,0.00120265
10,89.8942,1.19203,2.45879,1.33181,0.4544,0.46667,0.40712,0.19599,1.34151,3.51784,1.4962,0.00117435,0.00117435,0.00117435
11,98.3876,1.2309,2.40288,1.36184,0.44048,0.54159,0.43737,0.25078,1.34234,3.5595,1.51145,0.00114606,0.00114606,0.00114606
12,107.122,1.35014,2.35596,1.50371,0.55353,0.53333,0.5158,0.28889,1.46333,5.41266,1.65307,0.00111776,0.00111776,0.00111776
13,115.726,1.26042,2.36174,1.40287,0.51914,0.51667,0.54448,0.30556,1.52652,6.87219,1.70076,0.00108947,0.00108947,0.00108947
14,124.351,1.26009,2.30309,1.45073,0.43881,0.51667,0.48071,0.2993,1.53363,5.87607,1.72382,0.00106118,0.00106118,0.00106118
15,133.044,1.17312,2.33454,1.36546,0.38395,0.48265,0.41433,0.22657,1.5486,7.33114,1.72871,0.00103288,0.00103288,0.00103288
16,141.601,1.17091,2.29192,1.36466,0.31012,0.56014,0.38758,0.21015,1.61762,7.96499,1.80128,0.00100459,0.00100459,0.00100459
17,150.443,1.13691,2.2508,1.33457,0.28281,0.65,0.42662,0.24377,1.40622,12.6974,1.56844,0.000976293,0.000976293,0.000976293
18,158.981,1.13855,2.25749,1.35997,0.26842,0.66667,0.47783,0.26889,1.33593,15.2065,1.52942,0.000947999,0.000947999,0.000947999
19,167.711,1.23322,2.17378,1.40043,0.22011,0.71501,0.40984,0.22784,1.41127,15.7292,1.56344,0.000919704,0.000919704,0.000919704
20,176.285,1.13308,2.11215,1.31643,0.24217,0.75,0.47378,0.23513,1.45602,14.2825,1.54766,0.00089141,0.00089141,0.00089141
21,184.99,1.18039,2.22698,1.34178,0.27096,0.4563,0.42336,0.23428,1.34132,14.3672,1.40446,0.000863116,0.000863116,0.000863116
22,193.765,1.21058,2.24891,1.37065,0.28687,0.83333,0.46867,0.26987,1.49381,11.323,1.57563,0.000834822,0.000834822,0.000834822
23,202.364,1.21861,2.13618,1.41339,0.33922,0.58333,0.41269,0.23312,1.45424,9.46824,1.67627,0.000806528,0.000806528,0.000806528
24,211.311,1.13683,2.12136,1.36329,0.27841,0.6512,0.38924,0.2217,1.45724,10.7782,1.62009,0.000778233,0.000778233,0.000778233
25,219.926,1.22597,2.11668,1.39956,0.30161,0.72418,0.46547,0.29548,1.24773,8.541,1.41156,0.000749939,0.000749939,0.000749939
26,228.726,1.17695,2.05727,1.37588,0.36838,0.75,0.46186,0.29667,1.11266,8.26217,1.32763,0.000721645,0.000721645,0.000721645
27,237.534,1.12947,2.10332,1.34434,0.32918,0.69168,0.44585,0.30349,1.13064,8.38528,1.2871,0.000693351,0.000693351,0.000693351
28,246.391,1.1018,2.01704,1.31662,0.35033,0.58333,0.50434,0.34622,1.09843,7.7633,1.26879,0.000665057,0.000665057,0.000665057
29,255.258,1.09686,1.96534,1.31335,0.25108,0.71003,0.38571,0.25594,1.11667,11.3743,1.30283,0.000636762,0.000636762,0.000636762
30,263.899,1.09001,2.01473,1.32883,0.19708,0.71667,0.287,0.1622,1.21182,18.1658,1.4376,0.000608468,0.000608468,0.000608468
31,273.431,1.15666,1.91954,1.33593,0.25636,0.63333,0.39148,0.21741,1.18088,14.9292,1.38585,0.000580174,0.000580174,0.000580174
32,282.23,1.11212,2.01215,1.36765,0.28944,0.81667,0.36476,0.21571,1.19996,14.1318,1.35435,0.00055188,0.00055188,0.00055188
33,290.887,1.10423,1.92812,1.34417,0.26373,0.6689,0.36592,0.22005,1.15061,15.7161,1.32984,0.000523586,0.000523586,0.000523586
34,299.42,1.09736,1.96668,1.3217,0.29268,0.73333,0.37335,0.2268,1.13607,13.2141,1.31817,0.000495291,0.000495291,0.000495291
35,308.347,1.08308,1.9959,1.24177,0.33495,0.66667,0.45811,0.27353,1.10948,11.7538,1.3086,0.000466997,0.000466997,0.000466997
36,317.145,1.01609,1.90632,1.22065,0.37151,0.61911,0.48298,0.31259,1.09986,8.21493,1.24497,0.000438703,0.000438703,0.000438703
37,325.863,1.04764,2.00137,1.29114,0.27427,0.81667,0.47386,0.32019,1.1322,8.84157,1.28556,0.000410409,0.000410409,0.000410409
38,334.522,1.03838,1.84688,1.2976,0.33031,0.6225,0.50913,0.34062,1.20869,7.87409,1.35283,0.000382115,0.000382115,0.000382115
39,343.283,1.03535,1.80662,1.301,0.41177,0.7,0.5381,0.32939,1.21695,8.27163,1.34048,0.00035382,0.00035382,0.00035382
40,352.087,0.98772,1.85868,1.25793,0.34378,0.73333,0.5008,0.32257,1.13406,10.2726,1.27692,0.000325526,0.000325526,0.000325526
41,360.454,0.68886,1.87445,1.02102,0.4031,0.73333,0.50963,0.34119,1.0842,11.8594,1.26494,0.000297232,0.000297232,0.000297232
42,368.796,0.69461,1.72509,0.97968,0.40601,0.65003,0.585,0.36188,1.13508,9.22562,1.32031,0.000268938,0.000268938,0.000268938
43,377.211,0.58827,1.64221,0.93267,0.3118,0.9,0.52426,0.3296,1.16024,6.90157,1.3388,0.000240644,0.000240644,0.000240644
44,385.55,0.66896,1.61828,0.98905,0.4632,0.51667,0.50318,0.30155,1.20239,7.61919,1.40344,0.000212349,0.000212349,0.000212349
45,394.019,0.66839,1.58778,0.96889,0.3383,0.9,0.56662,0.34132,1.19661,6.39419,1.37677,0.000184055,0.000184055,0.000184055
46,402.715,0.63157,1.5432,0.93917,0.32292,0.75405,0.56382,0.33094,1.23841,7.47405,1.34117,0.000155761,0.000155761,0.000155761
47,411.13,0.61973,1.43909,0.90743,0.31289,0.9,0.5517,0.3245,1.23769,8.3891,1.40086,0.000127467,0.000127467,0.000127467
48,419.474,0.61737,1.50081,0.92706,0.29659,1,0.5965,0.37073,1.2324,8.96931,1.35222,9.91726e-05,9.91726e-05,9.91726e-05
49,428.144,0.57503,1.4878,0.91059,0.34124,0.72287,0.52166,0.3479,1.18076,9.57475,1.302,7.08784e-05,7.08784e-05,7.08784e-05
50,436.649,0.63217,1.49875,0.92359,0.38827,0.72919,0.5441,0.36807,1.22383,10.5135,1.34696,4.25842e-05,4.25842e-05,4.25842e-05
